"","Detroit Pistons","Atlanta Hawks","Chicago Bulls","Cleveland Cavaliers","New Orleans Pelicans","Golden State Warriors","Orlando Magic","Washington Wizards","Philadelphia 76ers","Boston Celtics","Brooklyn Nets","Utah Jazz","Miami Heat","Charlotte Hornets","Toronto Raptors","Indiana Pacers","Houston Rockets","Denver Nuggets","Memphis Grizzlies","New York Knicks","Milwaukee Bucks","Oklahoma City Thunder","San Antonio Spurs","Dallas Mavericks","Phoenix Suns","Portland Trail Blazers","Los Angeles Clippers","Sacramento Kings","Los Angeles Lakers","Minnesota Timberwolves"
"Los Angeles",-0.0388431328170397,0.00697020402030311,-3.01121038927458e-05,0.0342002213824378,-0.00452569972322515,0.0866472158672864,0.0221757351554738,0.0276886920935669,-0.0464013849478053,-0.0314059873847954,0.0212950952388466,0.0178213506236904,0.0231120270575856,0.00570146580432511,0.0394174774966572,0.0215157597886993,-0.0016695613917338,-0.0233854067557804,-0.0294137948068513,0.00115373193940482,-0.0113524701278614,0.0287303785153237,0.0924777379196685,0.0248627806686251,-0.0249668861524936,0.0124542410604641,0.0733916557755575,0.0331196431785392,-0.0602576621985862,0.00850085135435254
"Miami",-0.0861098261014699,-0.0402964892641271,-0.0472968053883229,-0.0130664719019924,-0.0517923930076554,0.0393805225828562,-0.0250909581289564,-0.0195780011908633,-0.0936680782322355,-0.0786726806692256,-0.0259715980455836,-0.0294453426607398,-0.0241546662268446,-0.0415652274801051,-0.00784921578777297,-0.0257509334957309,-0.048936254676164,-0.0706521000402106,-0.0766804880912815,-0.0461129613450254,-0.0586191634122916,-0.0185363147691065,0.0452110446352383,-0.0224039126158051,-0.0722335794369238,-0.0348124522239661,0.0261249624911273,-0.014147050105891,-0.107524355483016,-0.0387658419300777
"Milwaukee",-0.0841833188128004,-0.0383699819754575,-0.0453702980996534,-0.0111399646133228,-0.0498658857189858,0.0413070298715258,-0.0231644508402868,-0.0176514939021938,-0.0917415709435659,-0.0767461733805561,-0.024045090756914,-0.0275188353720703,-0.0222281589381751,-0.0396387201914356,-0.00592270849910343,-0.0238244262070614,-0.0470097473874945,-0.0687255927515411,-0.0747539808026119,-0.0441864540563558,-0.056692656123622,-0.016609807480437,0.0471375519239078,-0.0204774053271356,-0.0703070721482543,-0.0328859449352966,0.0280514697797968,-0.0122205428172215,-0.105597848194347,-0.0368393346414081
"Minnesota",-0.0503467591079929,-0.00453342227065009,-0.011533738394846,0.0226965950914846,-0.0160293260141784,0.0751435895763332,0.0106721088645206,0.0161850658026137,-0.0579050112387585,-0.0429096136757486,0.00979146894789342,0.00631772433273717,0.0116084007666324,-0.0058021604866281,0.027913851205704,0.0100121334977461,-0.013173187682687,-0.0348890330467336,-0.0409174210978045,-0.0103498943515484,-0.0228560964188146,0.0172267522243705,0.0809741116287153,0.0133591543776719,-0.0364705124434468,0.000950614769510853,0.0618880294846043,0.0216160168875859,-0.0717612884895394,-0.00300277493660066
"Brooklyn",-0.0147137117226276,0.0310996251147152,0.0240993089905194,0.0583296424768499,0.019603721371187,0.110776636961699,0.0463051562498859,0.051818113187979,-0.0222719638533932,-0.0072765662903833,0.0454245163332587,0.0419507717181025,0.0472414481519977,0.0298308868987372,0.0635468985910693,0.0456451808831114,0.0224598597026783,0.000744014338631689,-0.00528437371243915,0.0252831530338169,0.0127769509665507,0.0528597996097358,0.116607159014081,0.0489922017630372,-0.000837465058081495,0.0365836621548762,0.0975210768699696,0.0572490642729513,-0.0361282411041741,0.0326302724487646
"New York",-0.0890557292545519,-0.0432423924172091,-0.0502427085414049,-0.0160123750550744,-0.0547382961607374,0.0364346194297742,-0.0280368612820384,-0.0225239043439453,-0.0966139813853175,-0.0816185838223076,-0.0289175011986656,-0.0323912458138218,-0.0271005693799266,-0.0445111306331871,-0.010795118940855,-0.0286968366488129,-0.051882157829246,-0.0735980031932926,-0.0796263912443635,-0.0490588644981074,-0.0615650665653736,-0.0214822179221885,0.0422651414821563,-0.0253498157688871,-0.0751794825900058,-0.0377583553770482,0.0231790593380453,-0.0170929532589731,-0.110470258636098,-0.0417117450831597
"Orlando",-0.0478582626750932,-0.00204492583775034,-0.0090452419619462,0.0251850915243844,-0.0135408295812786,0.077632086009233,0.0131606052974204,0.0186735622355135,-0.0554165148058587,-0.0404211172428489,0.0122799653807932,0.00880622076563693,0.0140968971995321,-0.00331366405372834,0.0304023476386038,0.0125006299306458,-0.0106846912497872,-0.0324005366138339,-0.0384289246649047,-0.00786139791864863,-0.0203675999859148,0.0197152486572702,0.083462608061615,0.0158476508105717,-0.0339820160105471,0.00343911120241061,0.064376525917504,0.0241045133204857,-0.0692727920566397,-0.000514278503700907
"Indiana",-0.0875174782289996,-0.0417041413916567,-0.0487044575158526,-0.014474124029522,-0.053200045135185,0.0379728704553266,-0.026498610256486,-0.020985653318393,-0.0950757303597651,-0.0800803327967553,-0.0273792501731132,-0.0308529947882695,-0.0255623183543743,-0.0429728796076347,-0.00925686791530262,-0.0271585856232606,-0.0503439068036936,-0.0720597521677403,-0.0780881402188111,-0.047520613472555,-0.0600268155398212,-0.0199439668966362,0.0438033925077086,-0.0238115647433347,-0.0736412315644535,-0.0362201043514958,0.0247173103635976,-0.0155547022334207,-0.108932007610546,-0.0401734940576073
"Philadelphia",-0.0311566375664932,0.0146566992708496,0.00765638314665376,0.0418867166329843,0.00316079552732136,0.0943337111178329,0.0298622304060203,0.0353751873441134,-0.0387148896972588,-0.0237194921342489,0.0289815904893931,0.0255078458742369,0.0307985223081321,0.0133879610548716,0.0471039727472037,0.0292022550392458,0.00601693385881271,-0.0156989115052339,-0.0217272995563048,0.00884022718995133,-0.00366597487731487,0.0364168737658702,0.100164233170215,0.0325492759191716,-0.0172803909019471,0.0201407363110106,0.081078151026104,0.0408061384290857,-0.0525711669480397,0.016187346604899
"Phoenix",-0.0255949794272755,0.0202183574100673,0.0132180412858714,0.047448374772202,0.00872245366653903,0.0998953692570506,0.035423888545238,0.0409368454833311,-0.0331532315580411,-0.0181578339950312,0.0345432486286108,0.0310695040134546,0.0363601804473498,0.0189496191940893,0.0526656308864214,0.0347639131784634,0.0115785919980304,-0.0101372533660162,-0.0161656414170871,0.014401885329169,0.0018956832619028,0.0419785319050879,0.105725891309433,0.0381109340583893,-0.0117187327627294,0.0257023944502282,0.0866398091653217,0.0463677965683033,-0.0470095088088221,0.0217490047441167
"Portland",-0.0527983824239704,-0.00698504558662759,-0.0139853617108235,0.0202449717755071,-0.0184809493301559,0.0726919662603557,0.00822048554854313,0.0137334424866362,-0.060356634554736,-0.0453612369917261,0.00733984563191591,0.00386610101675966,0.00915677745065488,-0.0082537838026056,0.0254622278897265,0.00756051018176855,-0.0156248109986645,-0.0373406563627111,-0.043369044413782,-0.0128015176675259,-0.0253077197347921,0.014775128908393,0.0785224883127378,0.0109075310616944,-0.0389221357594243,-0.00150100854646665,0.0594364061686268,0.0191643935716084,-0.074212911805517,-0.00545439825257817
"Sacramento",-0.00985381621156654,0.0359595206257763,0.0289592045015804,0.063189537987911,0.024463616882248,0.11563653247276,0.051165051760947,0.0566780086990401,-0.0174120683423321,-0.00241667077932223,0.0502844118443198,0.0468106672291635,0.0521013436630588,0.0346907824097983,0.0684067941021304,0.0505050763941724,0.0273197552137394,0.00560390984969275,-0.000424478201378091,0.030143048544878,0.0176368464776118,0.0577196951207969,0.121467054525142,0.0538520972740983,0.00402243045297957,0.0414435576659372,0.102380972381031,0.0621089597840123,-0.0312683455931131,0.0374901679598257
"San Antonio",-0.102205090613153,-0.0563917537758099,-0.0633920699000058,-0.0291617364136752,-0.0678876575193382,0.0232852580711734,-0.0411862226406392,-0.0356732657025461,-0.109763342743918,-0.0947679451809084,-0.0420668625572664,-0.0455406071724226,-0.0402499307385274,-0.0576604919917879,-0.0239444802994558,-0.0418461980074138,-0.0650315191878468,-0.0867473645518934,-0.0927757526029643,-0.0622082258567082,-0.0747144279239744,-0.0346315792807893,0.0291157801235555,-0.0384991771274879,-0.0883288439486066,-0.050907716735649,0.0100296979794445,-0.0302423146175739,-0.123619619994699,-0.0548611064417605
"Oklahoma City",-0.108865762477127,-0.0630524256397841,-0.0700527417639799,-0.0358224082776494,-0.0745483293833124,0.0166245862071992,-0.0478468945046134,-0.0423339375665203,-0.116424014607892,-0.101428617044883,-0.0487275344212406,-0.0522012790363968,-0.0469106026025016,-0.0643211638557621,-0.03060515216343,-0.0485068698713879,-0.071692191051821,-0.0934080364158676,-0.0994364244669385,-0.0688688977206824,-0.0813750997879486,-0.0412922511447635,0.0224551082595813,-0.0451598489914621,-0.0949895158125808,-0.0575683885996231,0.00336902611547029,-0.036902986481548,-0.130280291858673,-0.0615217783057347
"Toronto",-0.0702417535503539,-0.0244284167130111,-0.031428732837207,0.00280160064912363,-0.0359243204565394,0.0552485951339722,-0.00922288557784038,-0.0037099286397473,-0.0778000056811195,-0.0628046081181096,-0.0101035254944676,-0.0135772701096238,-0.00828659367572862,-0.0256971549289891,0.00801885676334302,-0.00988286094461495,-0.033068182125048,-0.0547840274890946,-0.0608124155401655,-0.0302448887939094,-0.0427510908611756,-0.00266824221799051,0.0610791171863543,-0.0065358400646891,-0.0563655068858078,-0.0189443796728502,0.0419930350422433,0.00172102244522495,-0.0916562829319005,-0.0228977693789617
"Utah",-0.0748551629050382,-0.0290418260676954,-0.0360421421918913,-0.0018118087055607,-0.0405377298112237,0.0506351857792879,-0.0138362949325247,-0.00832333799443163,-0.0824134150358038,-0.0674180174727939,-0.0147169348491519,-0.0181906794643082,-0.0129000030304129,-0.0303105642836734,0.0034054474086587,-0.0144962702992993,-0.0376815914797323,-0.0593974368437789,-0.0654258248948498,-0.0348582981485937,-0.0473645002158599,-0.00728165157267483,0.05646570783167,-0.0111492494193734,-0.0609789162404921,-0.0235577890275345,0.037379625687559,-0.00289238690945937,-0.0962696922865848,-0.027511178733646
"Memphis",-0.0530192578427744,-0.00720592100543157,-0.0142062371296274,0.0200240963567032,-0.0187018247489598,0.0724710908415517,0.00799961012973916,0.0135125670678322,-0.0605775099735399,-0.0455821124105301,0.00711897021311194,0.0036452255979557,0.00893590203185091,-0.00847465922140957,0.0252413524709225,0.00733963476296458,-0.0158456864174685,-0.0375615317815151,-0.0435899198325859,-0.0130223930863299,-0.0255285951535961,0.014554253489589,0.0783016128939338,0.0106866556428904,-0.0391430111782283,-0.00172188396527062,0.0592155307498228,0.0189435181528045,-0.0744337872243209,-0.00567527367138214
"Washington",-0.0397470216820704,0.00606631515527244,-0.000934000968923419,0.0332963325174072,-0.00542958858825582,0.0857433270022557,0.0212718462904432,0.0267848032285362,-0.0473052738128359,-0.0323098762498261,0.0203912063738159,0.0169174617586597,0.0222081381925549,0.00479757693929444,0.0385135886316266,0.0206118709236686,-0.00257345025676447,-0.0242892956208111,-0.0303176836718819,0.00024984307437415,-0.0122563589928921,0.027826489650293,0.0915738490546378,0.0239588918035944,-0.0258707750175243,0.0115503521954334,0.0724877669105268,0.0322157543135085,-0.0611615510636169,0.00759696248932187
"Detroit",-0.0715163443497487,-0.0257030075124059,-0.0327033236366017,0.00152700984972883,-0.0371989112559342,0.0539740043345774,-0.0104974763772352,-0.0049845194391421,-0.0790745964805143,-0.0640791989175044,-0.0113781162938624,-0.0148518609090186,-0.00956118447512341,-0.0269717457283839,0.00674426596394823,-0.0111574517440097,-0.0343427729244428,-0.0560586182884894,-0.0620870063395603,-0.0315194795933042,-0.0440256816605704,-0.0039428330173853,0.0598045263869595,-0.00781043086408389,-0.0576400976852026,-0.0202189704722449,0.0407184442428485,0.000446431645830153,-0.0929308737312952,-0.0241723601783565
"Charlotte",-0.0841564541322632,-0.0383431172949203,-0.0453434334191162,-0.0111130999327856,-0.0498390210384486,0.041333894552063,-0.0231375861597496,-0.0176246292216566,-0.0917147062630287,-0.0767193087000189,-0.0240182260763768,-0.0274919706915331,-0.0222012942576379,-0.0396118555108984,-0.00589584381856623,-0.0237975615265242,-0.0469828827069573,-0.0686987280710039,-0.0747271161220747,-0.0441595893758186,-0.0566657914430848,-0.0165829427998998,0.047164416604445,-0.0204505406465984,-0.0702802074677171,-0.0328590802547594,0.028078334460334,-0.0121936781366843,-0.10557098351381,-0.0368124699608709
