"","Detroit Pistons","Atlanta Hawks","Chicago Bulls","Cleveland Cavaliers","New Orleans Pelicans","Golden State Warriors","Orlando Magic","Washington Wizards","Philadelphia 76ers","Boston Celtics","Brooklyn Nets","Utah Jazz","Miami Heat","Charlotte Hornets","Toronto Raptors","Indiana Pacers","Houston Rockets","Denver Nuggets","Memphis Grizzlies","New York Knicks","Milwaukee Bucks","Oklahoma City Thunder","San Antonio Spurs","Dallas Mavericks","Phoenix Suns","Portland Trail Blazers","Los Angeles Clippers","Sacramento Kings","Los Angeles Lakers","Minnesota Timberwolves"
"Atlanta",-0.115545378785853,-0.0697320419485103,-0.0767323580727062,-0.0425020245863756,-0.0812279456920386,0.00994496989847296,-0.0545265108133396,-0.0490135538752466,-0.123103630916619,-0.108108233353609,-0.0554071507299668,-0.0588808953451231,-0.0535902189112279,-0.0710007801644884,-0.0372847684721562,-0.0551864861801142,-0.0783718073605473,-0.100087652724594,-0.106116040775665,-0.0755485140294086,-0.0880547160966748,-0.0479718674534898,0.015775491950855,-0.0518394653001884,-0.101669132121307,-0.0642480049083494,-0.00331059019325598,-0.0435826027902743,-0.1369599081674,-0.0682013946144609
"Boston",-0.0870737676438506,-0.0412604308065078,-0.0482607469307036,-0.014030413444373,-0.052756334550036,0.0384165810404756,-0.026054899671337,-0.020541942733244,-0.0946320197746161,-0.0796366222116063,-0.0269355395879642,-0.0304092842031205,-0.0251186077692253,-0.0425291690224858,-0.00881315733015364,-0.0267148750381116,-0.0499001962185447,-0.0716160415825913,-0.0776444296336621,-0.047076902887406,-0.0595831049546723,-0.0195002563114872,0.0442471030928576,-0.0233678541581858,-0.0731975209793045,-0.0357763937663468,0.0251610209487466,-0.0151109916482717,-0.108488297025397,-0.0397297834724583
"Cleveland",-0.083018899074328,-0.0372055622369852,-0.044205878361181,-0.00997554487485047,-0.0487014659805134,0.0424714496099981,-0.0220000311018145,-0.0164870741637214,-0.0905771512050936,-0.0755817536420837,-0.0228806710184417,-0.0263544156335979,-0.0210637391997027,-0.0384743004529632,-0.00475828876063107,-0.022660006468589,-0.0458453276490221,-0.0675611730130687,-0.0735895610641396,-0.0430220343178835,-0.0555282363851497,-0.0154453877419646,0.0483019716623802,-0.0193129855886632,-0.0691426524097819,-0.0317215251968242,0.0292158895182692,-0.0110561230787491,-0.104433428455875,-0.0356749149029358
"New Orleans",-0.0138459938332901,0.0319673430040527,0.0249670268798568,0.0591973603661874,0.0204714392605244,0.111644354851036,0.0471728741392234,0.0526858310773165,-0.0214042459640557,-0.00640884840104582,0.0462922342225962,0.04281848960744,0.0481091660413352,0.0306986047880747,0.0644146164804068,0.0465128987724488,0.0233275775920158,0.00161173222796917,-0.00441665582310168,0.0261508709231544,0.0136446688558882,0.0537275174990733,0.117474876903418,0.0498599196523747,3.02528312559822e-05,0.0374513800442136,0.0983887947593071,0.0581167821622887,-0.0352605232148367,0.0334979903381021
"Chicago",-0.0841269899792128,-0.03831365314187,-0.0453139692660659,-0.0110836357797353,-0.0498095568853983,0.0413633587051133,-0.0231081220066993,-0.0175951650686062,-0.0916852421099784,-0.0766898445469685,-0.0239887619233265,-0.0274625065384828,-0.0221718301045875,-0.039582391357848,-0.0058663796655159,-0.0237680973734739,-0.0469534185539069,-0.0686692639179536,-0.0746976519690244,-0.0441301252227683,-0.0566363272900345,-0.0165534786468494,0.0471938807574953,-0.020421076493548,-0.0702507433146667,-0.0328296161017091,0.0281077986133844,-0.012164213983634,-0.105541519360759,-0.0367830058078206
"Dallas",-0.0569422142503928,-0.01112887741305,-0.0181291935372459,0.0161011399490847,-0.0226247811565783,0.0685481344339333,0.00407665372212073,0.0095896106602138,-0.0645004663811584,-0.0495050688181485,0.00319601380549351,-0.00027773080966273,0.00501294562423248,-0.012397615629028,0.0213183960633041,0.00341667835534615,-0.0197686428250869,-0.0414844881891335,-0.0475128762402044,-0.0169453494939483,-0.0294515515612145,0.0106312970819706,0.0743786564863154,0.006763699235272,-0.0430659675858467,-0.00564484037288905,0.0552925743422044,0.0150205617451861,-0.0783567436319394,-0.00959823007900056
"Denver",-0.0363488688498723,0.00946446798747054,0.00246415186327468,0.0366944853496053,-0.00203143575605772,0.0891414798344538,0.0246699991226413,0.0301829560607343,-0.0439071209806378,-0.028911723417628,0.023789359206014,0.0203156145908578,0.025606291024753,0.00819572977149254,0.0419117414638246,0.0240100237558667,0.000824702575433623,-0.020891142788613,-0.0269195308396838,0.00364799590657225,-0.00885820616069396,0.0312246424824911,0.0949720018868359,0.0273570446357925,-0.0224726221853262,0.0149485050276315,0.0758859197427249,0.0356139071457066,-0.0577633982314188,0.01099511532152
"Golden State",-0.0902008128151177,-0.0443874759777749,-0.0513877921019707,-0.0171574586156402,-0.0558833797213031,0.0352895358692084,-0.0291819448426041,-0.0236689879045111,-0.0977590649458833,-0.0827636673828734,-0.0300625847592314,-0.0335363293743876,-0.0282456529404924,-0.0456562141937529,-0.0119402025014208,-0.0298419202093787,-0.0530272413898118,-0.0747430867538584,-0.0807714748049293,-0.0502039480586732,-0.0627101501259394,-0.0226273014827543,0.0411200579215905,-0.0264948993294529,-0.0763245661505716,-0.0389034389376139,0.0220339757774795,-0.0182380368195388,-0.111615342196664,-0.0428568286437254
"Houston",-0.0416000452723852,0.00421329156495757,-0.00278702455923828,0.0314433089270923,-0.00728261217857069,0.0838903034119409,0.0194188227001283,0.0249317796382214,-0.0491582974031508,-0.0341628998401409,0.0185381827835011,0.0150644381683448,0.0203551146022401,0.00294455334897957,0.0366605650413117,0.0187588473333537,-0.00442647384707934,-0.026142319211126,-0.0321707072621968,-0.00160318051594072,-0.0141093825832069,0.0259734660599782,0.0897208254643229,0.0221058682132796,-0.0277237986078391,0.00969732860511852,0.070634743320212,0.0303627307231936,-0.0630145746539318,0.005743938899007
"LA",-0.087088796837482,-0.0412754600001392,-0.0482757761243351,-0.0140454426380045,-0.0527713637436675,0.0384015518468441,-0.0260699288649685,-0.0205569719268754,-0.0946470489682476,-0.0796516514052377,-0.0269505687815957,-0.030424313396752,-0.0251336369628567,-0.0425441982161172,-0.0088281865237851,-0.0267299042317431,-0.0499152254121761,-0.0716310707762228,-0.0776594588272936,-0.0470919320810375,-0.0595981341483037,-0.0195152855051186,0.0442320738992261,-0.0233828833518172,-0.0732125501729359,-0.0357914229599783,0.0251459917551152,-0.0151260208419032,-0.108503326219029,-0.0397448126660898
