"","NY","BOS","DAL","MIA","CHI","LAL","ORL","OKC","GS","LAC","WAS","New.Jersey.Nets","CHR","MIL","HOU","CLE","TOR","IND","DET","MIN","DEN","SAN","MEM","New.Orleans.Hornets","PHO","SAC","PHI","POR","ATL","UTA"
"LAL",-0.0450230560324266,0.00413236713354889,-0.00160399025061915,0.00616912646588573,0.0139477022407672,0.0306734585481746,-0.0172388056591621,0.0217244499946773,0.0223394227742975,0.0257789445781473,-0.0663063179644657,-0.0383597724500405,-0.116478724499834,-0.0394700265021574,0.000728714489930431,-0.109340121645717,-0.0145719436390916,-0.0307564021209678,-0.0680919211261385,-0.0630721712353436,-0.0265724956989557,0.0470901400098669,-0.0242909076384127,-0.00192767898010457,0.017665976075068,-0.0523045604886502,0.00853088378325572,-0.0322995388101985,-0.00892666332821056,-0.0156658129057331
"MIA",-0.0706628641188998,-0.0215074409529244,-0.0272437983370924,-0.0194706816205875,-0.011692105845706,0.00503365046170131,-0.0428786137456354,-0.00391535809179598,-0.00330038531217577,0.000139136491674073,-0.091946126050939,-0.0639995805365138,-0.142118532586307,-0.0651098345886307,-0.0249110935965428,-0.13497992973219,-0.0402117517255648,-0.0563962102074411,-0.0937317292126117,-0.0887119793218169,-0.052212303785429,0.0214503319233937,-0.049930715724886,-0.0275674870665778,-0.00797383201140523,-0.0779443685751235,-0.0171089243032175,-0.0579393468966718,-0.0345664714146838,-0.0413056209922064
"MIL",-0.07500006704981,-0.0258446438838346,-0.0315810012680027,-0.0238078845514978,-0.0160293087766163,0.000696447530791066,-0.0472158166765456,-0.00825256102270621,-0.00763758824308601,-0.00419806643923617,-0.0962833289818492,-0.068336783467424,-0.146455735517218,-0.069447037519541,-0.0292482965274531,-0.139317132663101,-0.0445489546564751,-0.0607334131383514,-0.098068932143522,-0.0930491822527271,-0.0565495067163392,0.0171131289924834,-0.0542679186557962,-0.0319046899974881,-0.0123110349423155,-0.0822815715060337,-0.0214461272341278,-0.062276549827582,-0.0389036743455941,-0.0456428239231166
"MIN",-0.0313434047623635,0.0178120184036119,0.0120756610194439,0.0198487777359488,0.0276273535108303,0.0443531098182376,-0.00355915438909909,0.0354041012647403,0.0360190740443605,0.0394585958482104,-0.0526266666944027,-0.0246801211799775,-0.102799073229771,-0.0257903752320944,0.0144083657599935,-0.0956604703756541,-0.000892292369028528,-0.0170767508509048,-0.0544122698560754,-0.0493925199652806,-0.0128928444288927,0.06076979127993,-0.0106112563683497,0.0117519722899585,0.0313456273451311,-0.0386249092185872,0.0222105350533188,-0.0186198875401355,0.00475298794185247,-0.00198616163567008
"BKN",-0.00488273821058401,0.0442726849553914,0.0385363275712234,0.0463094442877283,0.0540880200626098,0.0708137763700171,0.0229015121626804,0.0618647678165198,0.06247974059614,0.0659192623999899,-0.0261660001426232,0.00178054537180202,-0.0763384066779916,0.000670291319685097,0.040869032311773,-0.0691998038238746,0.025568374182751,0.0093839157008747,-0.0279516033042959,-0.0229318534135011,0.0135678221228869,0.0872304578317095,0.0158494101834298,0.038212638841738,0.0578062938969106,-0.0121642426668077,0.0486712016050983,0.00784077901164406,0.031213654493632,0.0244745049161094
"NY",-0.0440989114447797,0.00505651172119577,-0.000679845662972277,0.00709327105353261,0.0148718468284141,0.0315976031358214,-0.0163146610715152,0.0226485945823242,0.0232635673619444,0.0267030891657942,-0.0653821733768189,-0.0374356278623936,-0.115554579912187,-0.0385458819145106,0.00165285907757731,-0.10841597705807,-0.0136477990514447,-0.029832257533321,-0.0671677765384916,-0.0621480266476967,-0.0256483511113088,0.0480142845975138,-0.0233667630507658,-0.0010035343924577,0.0185901206627149,-0.0513804159010033,0.0094550283709026,-0.0313753942225516,-0.00800251874056368,-0.0147416683180862
"ORL",-0.0222157210490309,0.0269397021169446,0.0212033447327765,0.0289764614492814,0.0367550372241629,0.0534807935315703,0.00556852932423358,0.044531784978073,0.0451467577576932,0.048586279561543,-0.04349898298107,-0.0155524374666448,-0.0936713895164384,-0.0166626915187617,0.0235360494733261,-0.0865327866623215,0.00823539134430414,-0.00794906713757215,-0.0452845861427428,-0.0402648362519479,-0.00376516071556,0.0698974749932626,-0.00148357265501701,0.0208796560032911,0.0404733110584637,-0.0294972255052545,0.0313382187666514,-0.00949220382680279,0.0138806716551851,0.00714152207766258
"IND",-0.0570908130518523,-0.00793538988587684,-0.0136717472700449,-0.00589863055354,0.00187994522134152,0.0186057015287488,-0.0293065626785879,0.00965669297525156,0.0102716657548718,0.0137111875587216,-0.0783740749838915,-0.0504275294694663,-0.12854648151926,-0.0515377835215832,-0.0113390425294953,-0.121407878665143,-0.0266397006585173,-0.0428241591403936,-0.0801596781455642,-0.0751399282547693,-0.0386402527183814,0.0350223829904412,-0.0363586646578384,-0.0139954359995303,0.00559821905564231,-0.0643723175080759,-0.00353687323617001,-0.0443672958296242,-0.0209944203476363,-0.0277335699251588
"PHI",-0.0670479246306667,-0.0178925014646913,-0.0236288588488593,-0.0158557421323544,-0.00807716635747291,0.00864858994993441,-0.0392636742574023,-0.000300418603562876,0.000314554176057329,0.00375407597990717,-0.0883311865627059,-0.0603846410482807,-0.138503593098074,-0.0614948951003976,-0.0212961541083097,-0.131364990243957,-0.0365968122373317,-0.052781270719208,-0.0901167897243786,-0.0850970398335838,-0.0485973642971959,0.0250652714116268,-0.0463157762366529,-0.0239525475783447,-0.00435889252317213,-0.0743294290868904,-0.0134939848149844,-0.0543244074084387,-0.0309515319264507,-0.0376906815039733
"PHO",-0.0181842934969272,0.0309711296690482,0.0252347722848802,0.0330078890013851,0.0407864647762666,0.0575122210836739,0.00959995687633721,0.0485632125301766,0.0491781853097968,0.0526177071136467,-0.0394675554289664,-0.0115210099145412,-0.0896399619643348,-0.0126312639666581,0.0275674770254298,-0.0825013591102178,0.0122668188964078,-0.00391763958546852,-0.0412531585906391,-0.0362334086998443,0.00026626683654363,0.0739289025453662,0.00254785489708661,0.0249110835553947,0.0445047386105674,-0.0254657979531509,0.035369646318755,-0.00546077627469916,0.0179120992072888,0.0111729496297662
"POR",-0.0209986362955932,0.0281567868703823,0.0224204294862142,0.0301935462027191,0.0379721219776006,0.0546978782850079,0.00678561407767125,0.0457488697315106,0.0463638425111309,0.0498033643149807,-0.0422818982276324,-0.0143353527132072,-0.0924543047630007,-0.0154456067653241,0.0247531342267638,-0.0853157019088838,0.0094524760977418,-0.00673198238413448,-0.0440675013893051,-0.0390477514985102,-0.00254807596212233,0.0711145597467003,-0.000266487901579347,0.0220967407567288,0.0416903958119014,-0.0282801407518168,0.0325553035200891,-0.00827511907336512,0.0150977564086228,0.00835860683110024
"SAC",0.022755835310374,0.0719112584763495,0.0661749010921814,0.0739480178086863,0.0817265935835678,0.0984523498909751,0.0505400856836384,0.0895033413374779,0.0901183141170981,0.0935578359209479,0.00147257337833484,0.02941911889276,-0.0486998331570336,0.0283088648406431,0.068507605832731,-0.0415612303029166,0.053206947703709,0.0370224892218327,-0.000313029783337902,0.00470672010745696,0.0412063956438449,0.114869031352667,0.0434879837043879,0.065851212362696,0.0854448674178686,0.0154743308541504,0.0763097751260563,0.0354793525326021,0.05885222801459,0.0521130784370675
"SAN",-0.0171743652705268,0.0319810578954487,0.0262447005112806,0.0340178172277855,0.041796393002667,0.0585221493100743,0.0106098851027377,0.0495731407565771,0.0501881135361973,0.0536276353400471,-0.038457627202566,-0.0105110816881408,-0.0886300337379343,-0.0116213357402577,0.0285774052518302,-0.0814914308838174,0.0132767471228082,-0.00290771135906807,-0.0402432303642387,-0.0352234804734438,0.00127619506294408,0.0749388307717667,0.00355778312348706,0.0259210117817952,0.0455146668369678,-0.0244558697267504,0.0363795745451555,-0.00445084804829871,0.0189220274336892,0.0121828778561667
"OKC",-0.0934979123393778,-0.0443424891734023,-0.0500788465575704,-0.0423057298410655,-0.034527154066184,-0.0178013977587767,-0.0657136619661133,-0.0267504063122739,-0.0261354335326537,-0.0226959117288039,-0.114781174271417,-0.0868346287569918,-0.164953580806785,-0.0879448828091087,-0.0477461418170208,-0.157814977952668,-0.0630467999460428,-0.0792312584279191,-0.11656677743309,-0.111547027542295,-0.0750473520059069,-0.0013847162970843,-0.0727657639453639,-0.0504025352870558,-0.0308088802318832,-0.100779416795601,-0.0399439725236955,-0.0807743951171497,-0.0574015196351618,-0.0641406692126844
"TOR",-0.0602670734380868,-0.0111116502721113,-0.0168480076562794,-0.00907489093977447,-0.00129631516489295,0.0154294411425144,-0.0324828230648223,0.00648043258901708,0.00709540536863729,0.0105349271724871,-0.0815503353701259,-0.0536037898557007,-0.131722741905494,-0.0547140439078177,-0.0145153029157298,-0.124584139051377,-0.0298159610447518,-0.046000419526628,-0.0833359385317987,-0.0783161886410038,-0.0418165131046159,0.0318461226042067,-0.0395349250440729,-0.0171716963857648,0.00242195866940783,-0.0675485778943104,-0.00671313362240448,-0.0475435562158587,-0.0241706807338708,-0.0309098303113933
"UTA",-0.0116903986819443,0.0374650244840312,0.0317286670998631,0.039501783816368,0.0472803595912495,0.0640061158986569,0.0160938516913202,0.0550571073451596,0.0556720801247798,0.0591116019286296,-0.0329736606139834,-0.00502711509955824,-0.0831460671493518,-0.00613736915167516,0.0340613718404127,-0.0760074642952349,0.0187607137113907,0.00257625522951445,-0.0347592637756562,-0.0297395138848613,0.00676016165152659,0.0804227973603492,0.00904174971206958,0.0314049783703777,0.0509986334255503,-0.0189719031381679,0.041863541133738,0.0010331185402838,0.0244059940222717,0.0176668444447492
"MEM",-0.0528667427405562,-0.00371131957458074,-0.00944767695874879,-0.00167456024224391,0.00610401553263761,0.0228297718400449,-0.0250824923672918,0.0138807632865476,0.0144957360661679,0.0179352578700177,-0.0741500046725954,-0.0462034591581702,-0.124322411207964,-0.0473137132102871,-0.0071149722181992,-0.117183808353847,-0.0224156303472212,-0.0386000888290975,-0.0759356078342681,-0.0709158579434732,-0.0344161824070853,0.0392464533017373,-0.0321345943465423,-0.00977136568823421,0.0098222893669384,-0.0601482471967798,0.000687197075126083,-0.0401432255183281,-0.0167703500363402,-0.0235094996138628
"WAS",-0.0523473693330925,-0.00319194616711702,-0.00892830355128506,-0.00115518683478018,0.00662338894010134,0.0233491452475087,-0.024563118959828,0.0144001366940114,0.0150151094736316,0.0184546312774814,-0.0736306312651317,-0.0456840857507064,-0.1238030378005,-0.0467943398028234,-0.00659559881073548,-0.116664434946383,-0.0218962569397575,-0.0380807154216338,-0.0754162344268044,-0.0703964845360095,-0.0338968089996216,0.039765826709201,-0.0316152209390786,-0.00925199228077049,0.0103416627744021,-0.0596288737893161,0.00120657048258981,-0.0396238521108644,-0.0162509766288765,-0.022990126206399
"DET",-0.034053330864066,0.0151020923019095,0.00936573491774145,0.0171388516342463,0.0249174274091278,0.0416431837165352,-0.00626908049080152,0.0326941751630379,0.0333091479426581,0.0367486697465079,-0.0553365927961051,-0.0273900472816799,-0.105508999331474,-0.0285003013337968,0.011698439658291,-0.0983703964773566,-0.00360221847073096,-0.0197866769526072,-0.0571221959577779,-0.052102446066983,-0.0156027705305951,0.0580598651782275,-0.0133211824700521,0.00904204618825603,0.0286357012434286,-0.0413348353202896,0.0195006089516163,-0.0213298136418379,0.00204306184015004,-0.00469608773737252
"CHR",-0.0306575747366921,0.0184978484292833,0.0127614910451153,0.0205346077616201,0.0283131835365017,0.045038939843909,-0.00287332436342771,0.0360899312904117,0.0367049040700319,0.0401444258738817,-0.0519408366687313,-0.0239942911543061,-0.1021132432041,-0.025104545206423,0.0150941957856648,-0.0949746403499827,-0.000206462343357148,-0.0163909208252334,-0.0537264398304041,-0.0487066899396092,-0.0122070144032213,0.0614556213056013,-0.0099254263426783,0.0124378023156298,0.0320314573708025,-0.0379390791929158,0.0228963650789901,-0.0179340575144641,0.00543881796752385,-0.00130033160999871
