"","NY","BOS","DAL","MIA","CHI","LAL","ORL","OKC","GS","LAC","WAS","New.Jersey.Nets","CHR","MIL","HOU","CLE","TOR","IND","DET","MIN","DEN","SAN","MEM","New.Orleans.Hornets","PHO","SAC","PHI","POR","ATL","UTA"
"ATL",-0.0689035630374475,-0.019748139871472,-0.0254844972556401,-0.0177113805391352,-0.00993280476425367,0.00679295154315365,-0.041119312664183,-0.00215605701034363,-0.00154108423072343,0.00189843757312641,-0.0901868249694867,-0.0622402794550614,-0.140359231504855,-0.0633505335071784,-0.0231517925150905,-0.133220628650738,-0.0384524506441125,-0.0546369091259888,-0.0919724281311594,-0.0869526782403645,-0.0504530027039766,0.023209633004846,-0.0481714146434336,-0.0258081859851255,-0.00621453092995289,-0.0761850674936711,-0.0153496232217652,-0.0561800458152194,-0.0328071703332315,-0.039546319910754
"BOS",-0.115091274881279,-0.0659358517153036,-0.0716722090994717,-0.0638990923829668,-0.0561205166080853,-0.0393947603006779,-0.0873070245080146,-0.0483437688541752,-0.047728796074555,-0.0442892742707052,-0.136374536813318,-0.108427991298893,-0.186546943348687,-0.10953824535101,-0.0693395043589221,-0.17940834049457,-0.0846401624879441,-0.10082462096982,-0.138160139974991,-0.133140390084196,-0.0966407145478082,-0.0229780788389856,-0.0943591264872652,-0.0719958978289571,-0.0524022427737845,-0.122372779337503,-0.0615373350655968,-0.102367757659051,-0.0789948821770631,-0.0857340317545856
"CLE",-0.0263268090027754,0.0228286141632,0.017092256779032,0.0248653734955369,0.0326439492704184,0.0493697055778257,0.00145744137048904,0.0404206970243284,0.0410356698039486,0.0444751916077985,-0.0476100709348146,-0.0196635254203894,-0.097782477470183,-0.0207737794725063,0.0194249615195816,-0.090643874616066,0.0041243033905596,-0.0120601550913167,-0.0493956740964873,-0.0443759242056925,-0.00787624866930454,0.0657863870395181,-0.00559466060876156,0.0167685680495466,0.0363622231047192,-0.033608313458999,0.0272271308129069,-0.0136032917805473,0.00976958370144059,0.00303043412391803
"NOH",-0.0281534414928943,0.0210019816730812,0.0152656242889131,0.023038741005418,0.0308173167802995,0.0475430730877069,-0.000369191119629819,0.0385940645342096,0.0392090373138298,0.0426485591176796,-0.0494367034249334,-0.0214901579105082,-0.0996091099603018,-0.0226004119626251,0.0175983290294627,-0.0924705071061849,0.00229767090044074,-0.0138867875814355,-0.0512223065866062,-0.0462025566958113,-0.00970288115942339,0.0639597545493992,-0.00742129309888041,0.0149419355594277,0.0345355906146003,-0.0354349459491179,0.025400498322788,-0.0154299242706662,0.00794295121132174,0.00120380163379918
"CHI",-0.0951386832720883,-0.0459832601061129,-0.051719617490281,-0.0439465007737761,-0.0361679249988945,-0.0194421686914872,-0.0673544328988239,-0.0283911772449845,-0.0277762044653643,-0.0243366826615145,-0.116421945204128,-0.0884753996897023,-0.166594351739496,-0.0895856537418192,-0.0493869127497314,-0.159455748885379,-0.0646875708787533,-0.0808720293606296,-0.1182075483658,-0.113187798475005,-0.0766881229386175,-0.00302548722979486,-0.0744065348780745,-0.0520433062197664,-0.0324496511645938,-0.102420187728312,-0.0415847434564061,-0.0824151660498603,-0.0590422905678724,-0.0657814401453949
"DAL",-0.0646064986705753,-0.0154510755045999,-0.021187432888768,-0.0134143161722631,-0.00563574039738155,0.0110900159100258,-0.0368222482973109,0.00214100735652849,0.0027559801361487,0.00619550193999854,-0.0858897606026145,-0.0579432150881893,-0.136062167137983,-0.0590534691403063,-0.0188547281482184,-0.128923564283866,-0.0341553862772404,-0.0503398447591166,-0.0876753637642873,-0.0826556138734924,-0.0461559383371045,0.0275066973717181,-0.0438743502765615,-0.0215111216182534,-0.00191746656308076,-0.071888003126799,-0.0110525588548931,-0.0518829814483473,-0.0285101059663594,-0.0352492555438819
"DEN",-0.0219967185507462,0.0271587046152292,0.0214223472310612,0.0291954639475661,0.0369740397224476,0.0536997960298549,0.00578753182251824,0.0447507874763576,0.0453657602559778,0.0488052820598277,-0.0432799804827854,-0.0153334349683602,-0.0934523870181538,-0.0164436890204771,0.0237550519716108,-0.0863137841640368,0.00845439384258879,-0.00773006463928749,-0.0450655836444581,-0.0400458337536633,-0.00354615821727534,0.0701164774915473,-0.00126457015673236,0.0210986585015758,0.0406923135567484,-0.0292782230069699,0.0315572212649361,-0.00927320132851813,0.0140996741534698,0.00736052457594723
"GS",-0.0252498179072313,0.0239056052587442,0.0181692478745761,0.025942364591081,0.0337209403659625,0.0504466966733699,0.00253443246603317,0.0414976881198726,0.0421126608994928,0.0455521827033426,-0.0465330798392704,-0.0185865343248452,-0.0967054863746388,-0.0196967883769622,0.0205019526151257,-0.0895668835205219,0.00520129448610373,-0.0109831639957726,-0.0483186830009432,-0.0432989331101483,-0.0067992575737604,0.0668633781350622,-0.00451766951321742,0.0178455591450907,0.0374392142002633,-0.0325313223634549,0.028304121908451,-0.0125263006850032,0.0108465747969847,0.00410742521946217
"HOU",-0.0343038542425392,0.0148515689234362,0.00911521153926815,0.016888328255773,0.0246669040306546,0.0413926603380619,-0.00651960386927481,0.0324436517845646,0.0330586245641848,0.0364981463680346,-0.0555871161745784,-0.0276405706601532,-0.105759522709947,-0.0287508247122701,0.0114479162798177,-0.0986209198558299,-0.00385274184920425,-0.0200372003310805,-0.0573727193362512,-0.0523529694454563,-0.0158532939090684,0.0578093417997542,-0.0135717058485254,0.00879152280978273,0.0283851778649553,-0.0415853586987629,0.019250085573143,-0.0215803370203112,0.00179253846167675,-0.00494661111584581
"LAC",-0.0237053119473449,0.0254501112186305,0.0197137538344625,0.0274868705509674,0.0352654463258489,0.0519912026332562,0.00407893842591953,0.0430421940797589,0.0436571668593791,0.047096688663229,-0.0449885738793841,-0.0170420283649589,-0.0951609804147525,-0.0181522824170758,0.0220464585750121,-0.0880223775606355,0.00674580044599009,-0.0094386580358862,-0.0467741770410568,-0.041754427150262,-0.00525475161387404,0.0684078840949486,-0.00297316355333106,0.0193900651049771,0.0389837201601497,-0.0309868164035686,0.0298486278683374,-0.0109817947251168,0.0123910807568711,0.00565193117934853
