"","Date","Visitor/Neutral","Home/Neutral","spread","Home","Visit"
"703",2017-01-28,"Sac","Cha",-1.08115440681127,"W","L"
"704",2017-01-28,"Lac","GSW",-7.37224280340818,"W","L"
"705",2017-01-28,"Det","Mia",-0.945064954158366,"W","L"
"706",2017-01-28,"Bos","Mil",-0.857379709363063,"W","L"
"707",2017-01-28,"Bkn","Min",-1.52030545848857,"W","L"
"708",2017-01-28,"Den","Pho",-4.02078241941691,"W","L"
"709",2017-01-28,"Mem","Uta",-0.945064954158366,"W","L"
"710",2017-01-29,"NY","Atl",-0.762406282957165,"W","L"
"711",2017-01-29,"Phi","Chi",-0.857379709363063,"W","L"
"712",2017-01-29,"Okc","Cle",-0.945064954158366,"W","L"
"713",2017-01-29,"Hou","Ind",-7.28958556097605,"W","L"
"714",2017-01-29,"Was","NO",-4.61740234809527,"W","L"
"715",2017-01-29,"GSW","Por",2.84148144138308,"L","W"
"716",2017-01-29,"Dal","Sas",-10.1418164249282,"W","L"
"717",2017-01-29,"ORL","Tor",-5.4810862122254,"W","L"
"718",2017-01-30,"Det","Bos",-1.68537269351261,"W","L"
"719",2017-01-30,"Cle","Dal",0.718846921611119,"L","W"
"720",2017-01-30,"Bkn","Mia",-0.945064954158366,"W","L"
"721",2017-01-30,"ORL","Min",-0.857379709363063,"W","L"
"722",2017-01-30,"Sac","Phi",-6.01483378433976,"W","L"
"723",2017-01-30,"Mem","Pho",0.120375807300978,"L","W"
"724",2017-01-31,"Sac","Hou",-0.946998614009978,"W","L"
"725",2017-01-31,"Den","Lal",-4.02078241941691,"W","L"
"726",2017-01-31,"Cha","Por",-0.857379709363063,"W","L"
"727",2017-01-31,"Okc","Sas",-6.21946029172804,"W","L"
"728",2017-01-31,"NO","Tor",-5.76027212198438,"W","L"
"729",2017-01-31,"NY","Was",-4.77783860164176,"W","L"
"730",2017-02-01,"Tor","Bos",-4.98818743279395,"W","L"
"731",2017-02-01,"NY","Bkn",0.250694739001785,"L","W"
"732",2017-02-01,"Min","Cle",-0.945064954158366,"W","L"
"733",2017-02-01,"Phi","Dal",0.718846921611119,"L","W"
"734",2017-02-01,"Mem","Den",-0.0931169202965239,"W","L"
"735",2017-02-01,"NO","Det",-0.857379709363063,"W","L"
"736",2017-02-01,"Cha","GSW",-6.73330569855081,"W","L"
"737",2017-02-01,"Atl","Mia",-0.945064954158366,"W","L"
"738",2017-02-01,"Chi","Okc",-0.945064954158366,"W","L"
