"","NOH","ORL","SAN","DAL","LAL","HOU","CHR","MIL","PHI","IND","BKN","BOS","MIA","WAS","TOR","ATL","MIN","MEM","NY","CHI","DET","DEN","UTA","PHO","SAC","GS","OKC","POR","CLE","LAC"
"ATL",-0.00431686848787127,-0.0277238988487319,0.00957218891358624,0.00164663532233007,-0.0225124922539783,-0.0734008400541762,-0.0754008187508009,-0.054220996160564,-0.119123575274097,-0.027813212670319,-0.0176550267200705,-0.0446244228843073,-0.0374973355858481,-0.00402977565932794,0.0128465826867202,0.00718839093400141,-0.0716317804548425,-0.029445479113748,-0.0446115341143007,-0.0324309019238563,-0.09478728369688,-0.0693155843953933,-0.0385735318236037,-0.0277030961254077,-0.0189735226929662,0.0522791170232139,-0.0455006553806997,0.00710870817245443,-0.018248678393041,0.0527447228427179
"BOS",0.00704538779593513,-0.0163616425649255,0.0209344451973926,0.0130088916061365,-0.0111502359701719,-0.0620385837703698,-0.0640385624669945,-0.0428587398767576,-0.10776131899029,-0.0164509563865126,-0.00629277043626412,-0.0332621666005009,-0.0261350793020417,0.00733248062447847,0.0242088389705266,0.0185506472178078,-0.0602695241710361,-0.0180832228299416,-0.0332492778304943,-0.0210686456400499,-0.0834250274130736,-0.0579533281115869,-0.0272112755397973,-0.0163408398416013,-0.00761126640915984,0.0636413733070204,-0.0341383990968933,0.0184709644562608,-0.00688642210923463,0.0641069791265243
"CLE",0.00928776257838327,-0.0141192677824773,0.0231768199798408,0.0152512663885846,-0.00890786118772378,-0.0597962089879217,-0.0617961876845463,-0.0406163650943094,-0.105518944207842,-0.0142085816040644,-0.00405039565381599,-0.0310197918180528,-0.0238927045195935,0.0095748554069266,0.0264512137529747,0.0207930220002559,-0.0580271493885879,-0.0158408480474935,-0.0310069030480461,-0.0188262708576017,-0.0811826526306254,-0.0557109533291388,-0.0249689007573492,-0.0140984650591532,-0.00536889162671171,0.0658837480894685,-0.0318960243144452,0.020713339238709,-0.00464404732678649,0.0663493539089724
"NOH",0.0112572182285508,-0.0121498121323098,0.0251462756300083,0.0172207220387522,-0.00693840553755622,-0.0578267533377542,-0.0598267320343788,-0.0386469094441419,-0.103549488557675,-0.0122391259538969,-0.00208094000364843,-0.0290503361678852,-0.021923248869426,0.0115443110570942,0.0284206694031423,0.0227624776504235,-0.0560576937384204,-0.0138713923973259,-0.0290374473978786,-0.0168568152074342,-0.0792131969804579,-0.0537414976789713,-0.0229994451071817,-0.0121290094089856,-0.00339943597654415,0.067853203739636,-0.0299265686642776,0.0226827948888765,-0.00267459167661894,0.06831880955914
"CHI",-0.0059471051799729,-0.0293541355408335,0.00794195222148461,1.63986302284482e-05,-0.0241427289460799,-0.0750310767462779,-0.0770310554429025,-0.0558512328526656,-0.120753811966198,-0.0294434493624206,-0.0192852634121722,-0.0462546595764089,-0.0391275722779497,-0.00566001235142956,0.0112163459946186,0.00555815424189979,-0.0732620171469441,-0.0310757158058497,-0.0462417708064023,-0.0340611386159579,-0.0964175203889816,-0.070945821087495,-0.0402037685157054,-0.0293333328175093,-0.0206037593850679,0.0506488803311123,-0.0471308920728013,0.00547847148035281,-0.0198789150851427,0.0511144861506163
"DAL",0.0253346523577089,0.00192762199684827,0.0392237097591664,0.0312981561679102,0.00713902859160183,-0.0437493192085961,-0.0457492979052207,-0.0245694753149838,-0.0894720544285166,0.00183830817526117,0.0119964941255096,-0.0149729020387272,-0.00784581474026794,0.0256217451862522,0.0424981035323004,0.0368399117795816,-0.0419802596092623,0.000206041731832107,-0.0149600132687205,-0.00277938107827611,-0.0651357628512998,-0.0396640635498132,-0.0089220109780236,0.00194842472017244,0.0106779981526139,0.0819306378687941,-0.0158491345351195,0.0367602290180346,0.0114028424525391,0.082396243688298
"DEN",0.0336843314598599,0.0102773010989993,0.0475733888613174,0.0396478352700613,0.0154887076937529,-0.0353996401064451,-0.0373996188030697,-0.0162197962128328,-0.0811223753263656,0.0101879872774122,0.0203461732276607,-0.00662322293657612,0.000503864361883093,0.0339714242884032,0.0508477826344514,0.0451895908817326,-0.0336305805071113,0.00855572083398314,-0.00661033416656949,0.00557029802387492,-0.0567860837491488,-0.0313143844476622,-0.000572331875872572,0.0102981038223235,0.0190276772547649,0.0902803169709451,-0.00749945543296851,0.0451099081201856,0.0197525215546902,0.0907459227904491
"GS",-0.00581858081736958,-0.0292256111782302,0.00807047658408792,0.000144922992831757,-0.0240142045834766,-0.0749025523836746,-0.0769025310802992,-0.0557227084900623,-0.120625287603595,-0.0293149249998173,-0.0191567390495688,-0.0461261352138056,-0.0389990479153464,-0.00553148798882625,0.0113448703572219,0.0056866786045031,-0.0731334927843408,-0.0309471914432464,-0.046113246443799,-0.0339326142533546,-0.0962889960263783,-0.0708172967248917,-0.0400752441531021,-0.029204808454906,-0.0204752350224646,0.0507774046937156,-0.047002367710198,0.00560699584295612,-0.0197503907225393,0.0512430105132196
"HOU",-0.0166993048835114,-0.0401063352443721,-0.00281024748205394,-0.0107358010733101,-0.0348949286496185,-0.0857832764498164,-0.0877832551464411,-0.0666034325562041,-0.131506011669737,-0.0401956490659592,-0.0300374631157107,-0.0570068592799475,-0.0498797719814883,-0.0164122120549681,0.000464146291080033,-0.00519404546163876,-0.0840142168504827,-0.0418279155093882,-0.0569939705099408,-0.0448133383194964,-0.10716972009252,-0.0816980207910335,-0.0509559682192439,-0.0400855325210479,-0.0313559590886064,0.0398966806275738,-0.0578830917763399,-0.00527372822318574,-0.0306311147886812,0.0403622864470777
"LAC",0.0186680156009961,-0.0047390147598645,0.0325570730024536,0.0246315194111974,0.00047239183488906,-0.0504159559653089,-0.0524159346619335,-0.0312361120716966,-0.0961386911852294,-0.00482832858145161,0.00532985736879685,-0.0216395387954399,-0.0145124514969807,0.0189551084295394,0.0358314667755876,0.0301732750228688,-0.0486468963659751,-0.00646059502488066,-0.0216266500254333,-0.00944601783498888,-0.0718023996080126,-0.046330700306526,-0.0155886477347364,-0.00471821203654033,0.00401136139590113,0.0752640011120813,-0.0225157712918323,0.0300935922613218,0.00473620569582635,0.0757296069315853
