"","NOH","ORL","SAN","DAL","LAL","HOU","CHR","MIL","PHI","IND","BKN","BOS","MIA","WAS","TOR","ATL","MIN","MEM","NY","CHI","DET","DEN","UTA","PHO","SAC","GS","OKC","POR","CLE","LAC"
"LAL",0.0418061201799032,0.0183990898190426,0.0556951775813607,0.0477696239901046,0.0236104964137962,-0.0272778513864017,-0.0292778300830264,-0.00809800749278946,-0.0730005866063222,0.0183097759974555,0.028467961947704,0.00149856578346719,0.00862565308192641,0.0420932130084466,0.0589695713544947,0.0533113796017759,-0.025508791787068,0.0166775095540265,0.00151145455347384,0.0136920867439182,-0.0486642950291055,-0.0231925957276188,0.00754945684417075,0.0184198925423668,0.0271494659748083,0.0984021056909884,0.000622333287074806,0.0532316968402289,0.0278743102747335,0.0988677115104924
"MIA",0.00706230307793598,-0.0163447272829246,0.0209513604793935,0.0130258068881373,-0.0111333206881711,-0.062021668488369,-0.0640216471849936,-0.0428418245947567,-0.107744403708289,-0.0164340411045117,-0.00627585515426328,-0.0332452513185001,-0.0261181640200408,0.00734939590647931,0.0242257542525275,0.0185675624998087,-0.0602526088890352,-0.0180663075479408,-0.0332323625484934,-0.021051730358049,-0.0834081121310727,-0.0579364128295861,-0.0271943602577965,-0.0163239245596005,-0.007594351127159,0.0636582885890212,-0.0341214838148924,0.0184878797382617,-0.00686950682723378,0.0641238944085251
"MIL",-0.0574039674343179,-0.0808109977951785,-0.0435149100328604,-0.0514404636241166,-0.075599591200425,-0.126487939000623,-0.128487917697248,-0.107308095107011,-0.172210674220543,-0.0809003116167656,-0.0707421256665172,-0.0977115218307539,-0.0905844345322947,-0.0571168746057746,-0.0402405162597264,-0.0458987080124452,-0.124718879401289,-0.0825325780601947,-0.0976986330607473,-0.0855180008703029,-0.147874382643327,-0.12240268334184,-0.0916606307700504,-0.0807901950718544,-0.0720606216394129,-0.000807981923232693,-0.0985877543271463,-0.0459783907739922,-0.0713357773394877,-0.000342376103728743
"MIN",0.0657076087594959,0.0423005783986352,0.0795966661609534,0.0716711125696972,0.0475119849933888,-0.00337636280680912,-0.00537634150343376,0.0158034810868032,-0.0490990980267296,0.0422112645770481,0.0523694505272966,0.0254000543630598,0.032527141661519,0.0659947015880392,0.0828710599340873,0.0772128681813685,-0.00160730320747536,0.0405789981336191,0.0254129431330665,0.0375935753235109,-0.0247628064495129,0.000708892851973784,0.0314509454237634,0.0423213811219594,0.0510509545544009,0.122303594270581,0.0245238218666674,0.0771331854198216,0.0517757988543261,0.122769200090085
"BKN",0.018195599105624,-0.00521143125523657,0.0320846565070815,0.0241591029158254,-2.46604830090304e-08,-0.0508883724606809,-0.0528883511573056,-0.0317085285670686,-0.0966111076806014,-0.00530074507682367,0.00485744087342478,-0.022111955290812,-0.0149848679923528,0.0184826919341674,0.0353590502802155,0.0297008585274967,-0.0491193128613472,-0.00693301152025273,-0.0220990665208054,-0.00991843433036095,-0.0722748161033847,-0.046803116801898,-0.0160610642301084,-0.0051906285319124,0.00353894490052906,0.0747915846167092,-0.0229881877872044,0.0296211757659497,0.00426378920045428,0.0752571904362132
"NY",0.052265953968847,0.0288589236079864,0.0661550113703045,0.0582294577790483,0.0340703302027399,-0.016818017597458,-0.0188179962940826,0.0023618262961543,-0.0625407528173785,0.0287696097863993,0.0389277957366477,0.011958399572411,0.0190854868708702,0.0525530467973903,0.0694294051434385,0.0637712133907197,-0.0150489579981242,0.0271373433429702,0.0119712883424176,0.024151920532862,-0.0382044612401617,-0.0127327619386751,0.0180092906331145,0.0288797263313106,0.037609299763752,0.108861939479932,0.0110821670760186,0.0636915306291727,0.0383341440636772,0.109327545299436
"ORL",0.0527105787800587,0.0293035484191981,0.0665996361815162,0.05867408259026,0.0345149550139517,-0.0163733927862463,-0.0183733714828709,0.00280645110736601,-0.0620961280061668,0.029214234597611,0.0393724205478594,0.0124030243836227,0.0195301116820819,0.052997671608602,0.0698740299546502,0.0642158382019314,-0.0146043331869125,0.0275819681541819,0.0124159131536293,0.0245965453440737,-0.03775983642895,-0.0122881371274634,0.0184539154443262,0.0293243511425223,0.0380539245749637,0.109306564291144,0.0115267918872303,0.0641361554403844,0.0387787688748889,0.109772170110648
"IND",-0.0106037378081376,-0.0340107681689982,0.00328531959331994,-0.00464023399793622,-0.0287993615742446,-0.0796877093744425,-0.0816876880710672,-0.0605078654808303,-0.125410444594363,-0.0341000819905853,-0.0239418960403368,-0.0509112922045736,-0.0437842049061144,-0.0103166449795942,0.00655971336645391,0.000901521613735116,-0.0779186497751088,-0.0357323484340143,-0.050898403434567,-0.0387177712441226,-0.101074153017146,-0.0756024537156596,-0.04486040114387,-0.033989965445674,-0.0252603920132325,0.0459922477029477,-0.051787524700966,0.000821838852188136,-0.0245355477133073,0.0464578535224516
"PHI",0.011373765343437,-0.0120332650174237,0.0252628227448945,0.0173372691536383,-0.00682185842267009,-0.057710206222868,-0.0597101849194927,-0.0385303623292557,-0.103432941442789,-0.0121225788390108,-0.0019643928887623,-0.0289337890529991,-0.0218067017545399,0.0116608581719803,0.0285372165180284,0.0228790247653096,-0.0559411466235343,-0.0137548452824398,-0.0289209002829924,-0.016740268092548,-0.0790966498655718,-0.0536249505640851,-0.0228828979922955,-0.0120124622940995,-0.00328288886165802,0.0679697508545222,-0.0298100215493915,0.0227993420037627,-0.0025580445617328,0.0684353566740261
"PHO",0.014108690465017,-0.00929833989584362,0.0279977478664745,0.0200721942752183,-0.00408693330109006,-0.054975281101288,-0.0569752597979126,-0.0357954372076757,-0.100698016321208,-0.00938765371743073,0.000770532232817727,-0.0261988639314191,-0.0190717766329598,0.0143957832935603,0.0312721416396085,0.0256139498868897,-0.0532062215019542,-0.0110199201608598,-0.0261859751614124,-0.014005342970968,-0.0763617247439917,-0.0508900254425051,-0.0201479728707155,-0.00927753717251945,-0.000547963740077987,0.0707046759761022,-0.0270750964278114,0.0255342671253427,0.000176880559847225,0.0711702817956062
"POR",-0.00273307286435948,-0.0261401032252201,0.011155984537098,0.00323043094584186,-0.0209286966304665,-0.0718170444306645,-0.0738170231272891,-0.0526372005370522,-0.117539779650585,-0.0262294170468072,-0.0160712310965587,-0.0430406272607955,-0.0359135399623363,-0.00244598003581615,0.014430378310232,0.0087721865575132,-0.0700479848313307,-0.0278616834902363,-0.0430277384907889,-0.0308471063003445,-0.0932034880733682,-0.0677317887718816,-0.036989736200092,-0.0261193005018959,-0.0173897270694545,0.0538629126467257,-0.0439168597571879,0.00869250379596622,-0.0166648827695293,0.0543285184662297
"SAC",0.0557984303542808,0.0323913999934202,0.0696874877557383,0.0617619341644821,0.0376028065881737,-0.0132855412120242,-0.0152855199086488,0.0058943026815881,-0.0590082764319447,0.0323020861718331,0.0424602721220815,0.0154908759578448,0.022617963256304,0.0560855231828241,0.0729618815288723,0.0673036897761535,-0.0115164816126904,0.030669819728404,0.0155037647278514,0.0276843969182958,-0.0346719848547279,-0.00920028555324128,0.0215417670185483,0.0324122027167444,0.0411417761491858,0.112394415865366,0.0146146434614524,0.0672240070146065,0.041866620449111,0.11286002168487
"SAN",0.0098114776908917,-0.0135955526699689,0.0237005350923492,0.015774981501093,-0.00838414607521535,-0.0592724938754133,-0.0612724725720379,-0.040092649981801,-0.104995229095334,-0.013684866491556,-0.00352668054130757,-0.0304960767055443,-0.0233689894070851,0.010098570519435,0.0269749288654832,0.0213167371127644,-0.0575034342760795,-0.0153171329349851,-0.0304831879355377,-0.0183025557450933,-0.080658937518117,-0.0551872382166304,-0.0244451856448408,-0.0135747499466447,-0.00484517651420328,0.0664074632019769,-0.0313723092019367,0.0212370543512174,-0.00412033221427807,0.0668730690214809
"OKC",-0.0237796553730914,-0.047186685733952,-0.00989059797163388,-0.01781615156289,-0.0419752791391984,-0.0928636269393964,-0.094863605636021,-0.0736837830457841,-0.138586362159317,-0.0472759995555391,-0.0371178136052906,-0.0640872097695274,-0.0569601224710682,-0.0234925625445481,-0.00661620419849991,-0.0122743959512187,-0.0910945673400626,-0.0489082659989682,-0.0640743209995208,-0.0518936888090764,-0.1142500705821,-0.0887783712806135,-0.0580363187088239,-0.0471658830106278,-0.0384363095781864,0.0328163301379938,-0.0649634422659198,-0.0123540787127657,-0.0377114652782611,0.0332819359574978
"TOR",0.0341161872441174,0.0107091568832568,0.0480052446455749,0.0400796910543187,0.0159205634780103,-0.0349677843221876,-0.0369677630188122,-0.0157879404285753,-0.0806905195421081,0.0106198430616697,0.0207780290119181,-0.00619136715231865,0.000935720146140564,0.0344032800726607,0.0512796384187089,0.0456214466659901,-0.0331987247228538,0.00898757661824062,-0.00617847838231201,0.00600215380813239,-0.0563542279648913,-0.0308825286634047,-0.000140476091615099,0.0107299596065809,0.0194595330390224,0.0907121727552026,-0.00706759964871104,0.0455417639044431,0.0201843773389476,0.0911777785747065
"Utah",0.0302363061905083,0.00682927582964775,0.0441253635919659,0.0361998100007097,0.0120406824244013,-0.0388476653757966,-0.0408476440724213,-0.0196678214821843,-0.0845704005957171,0.00673996200806064,0.0168981479583091,-0.0100712482059277,-0.00294416090746847,0.0305233990190517,0.0473997573650998,0.041741565612381,-0.0370786057764629,0.00510769556463158,-0.010058359435921,0.00212227275452336,-0.0602341090185004,-0.0347624097170137,-0.00402035714522413,0.00685007855297191,0.0155796519854134,0.0868322917015936,-0.0109474807023201,0.041661882850834,0.0163044962853386,0.0872978975210975
"MEM",0.003410014991765,-0.0199970153690956,0.0172990723932225,0.00937351880196634,-0.0147856087743421,-0.06567395657454,-0.0676739352711646,-0.0464941126809277,-0.11139669179446,-0.0200863291906827,-0.00992814324043426,-0.036897539404671,-0.0297704521062118,0.00369710782030833,0.0205734661663565,0.0149152744136377,-0.0639048969752062,-0.0217185956341118,-0.0368846506346644,-0.02470401844422,-0.0870604002172437,-0.0615887009157571,-0.0308466483439675,-0.0199762126457714,-0.01124663921333,0.0600060005028502,-0.0377737719010634,0.0148355916520907,-0.0105217949134048,0.0604716063223542
"WAS",0.00371893748629489,-0.0196880928745657,0.0176079948877524,0.00968244129649623,-0.0144766862798122,-0.0653650340800101,-0.0673650127766347,-0.0461851901863978,-0.111087769299931,-0.0197774066961528,-0.00961922074590437,-0.0365886169101411,-0.0294615296116819,0.00400603031483822,0.0208823886608864,0.0152241969081676,-0.0635959744806763,-0.0214096731395819,-0.0365757281401345,-0.0243950959496901,-0.0867514777227138,-0.0612797784212272,-0.0305377258494376,-0.0196672901512415,-0.0109377167188001,0.0603149229973801,-0.0374648494065335,0.0151445141466206,-0.0102128724188749,0.0607805288168841
"DET",0.00225527055048755,-0.0211517598103731,0.0161443279519451,0.0082187743606889,-0.0159403532156195,-0.0668287010158174,-0.0688286797124421,-0.0476488571222051,-0.112551436235738,-0.0212410736319602,-0.0110828876817117,-0.0380522838459485,-0.0309251965474893,0.00254236337903089,0.019418721725079,0.0137605299723602,-0.0650596414164837,-0.0228733400753892,-0.0380393950759418,-0.0258587628854974,-0.0882151446585212,-0.0627434453570345,-0.0320013927852449,-0.0211309570870489,-0.0124013836546074,0.0588512560615728,-0.0389285163423409,0.0136808472108133,-0.0116765393546822,0.0593168618810767
"CHR",0.00776472134393916,-0.0156423090169214,0.0216537787453967,0.0137282251541405,-0.0104309024221679,-0.0613192502223658,-0.0633192289189905,-0.0421394063287535,-0.107041985442286,-0.0157316228385086,-0.0055734368882601,-0.0325428330524969,-0.0254157457540377,0.00805181417248249,0.0249281725185306,0.0192699807658118,-0.0595501906230321,-0.0173638892819376,-0.0325299442824902,-0.0203493120920458,-0.0827056938650695,-0.0572339945635829,-0.0264919419917933,-0.0156215062935973,-0.00689193286115582,0.0643607068550244,-0.0334190655488893,0.0191902980042649,-0.0061670885612306,0.0648263126745283
