"","WAS","CLE","BOS","MIA","DAL","LAL","IND","TOR","DEN","PHI","DET","HOU","CHI","SAC","SAN","New.Orleans.Hornets","UTA","GS","PHO","LAC","MEM","POR","BKN","NY","OKC","Charlotte.Bobcats","ORL","MIL","ATL","MIN"
"POR",-0.021888030120448,-0.0586576217726744,0.00901368532080822,0.0850597628696912,0.0480288372417361,0.026599331825048,-0.01067804649855,0.0218928147348089,-0.0327351884667397,-0.002966510002485,-0.0644351042971947,-0.0114705252527026,-0.0321809646235182,-0.0118747662013213,0.0618528942813623,0.0162430578011698,0.0132676005592295,0.0666832400731543,-0.0272704869443994,0.0671068185340882,-0.0344547579599383,-0.00851312031939589,0.0110812630092917,0.00525889454131194,0.0489388965738596,-0.0756632456439162,-0.00481573407377772,-0.0683432678383602,0.0187532055280002,-0.0532879721318861
"SAC",0.0177393757425872,-0.0190302159096392,0.0486410911838434,0.124687168732726,0.0876562431047713,0.0662267376880833,0.0289493593644852,0.0615202205978441,0.00689221739629546,0.0366608958605502,-0.0248076984341595,0.0281568806103326,0.00744644123951705,0.0277526396617139,0.101480300144398,0.055870463664205,0.0528950064222648,0.106310645936189,0.0123569189186358,0.106734224397123,0.00517264790309687,0.0311142855436393,0.0507086688723269,0.0448863004043471,0.0885663024368948,-0.036035839780881,0.0348116717892575,-0.028715861975325,0.0583806113910354,-0.0136605662688509
"SAN",-0.053299700478692,-0.0900692921309184,-0.0223979850374358,0.0536480925114472,0.0166171668834921,-0.00481233853319595,-0.042089716856794,-0.00951885562343514,-0.0641468588249837,-0.034378180360729,-0.0958467746554387,-0.0428821956109466,-0.0635926349817622,-0.0432864365595653,0.0304412239231184,-0.0151686125570742,-0.0181440697990144,0.0352715697149103,-0.0586821573026434,0.0356951481758442,-0.0658664283181823,-0.0399247906776399,-0.0203304073489523,-0.0261527758169321,0.0175272262156156,-0.10707491600216,-0.0362274044320217,-0.0997549381966042,-0.0126584648302438,-0.0846996424901301
"OKC",-0.0917512801713368,-0.128520871823563,-0.0608495647300806,0.0151965128188024,-0.0218344128091527,-0.0432639182258408,-0.0805412965494388,-0.04797043531608,-0.102598438517629,-0.0728297600533738,-0.134298354348084,-0.0813337753035914,-0.102044214674407,-0.0817380162522101,-0.00801035576952648,-0.0536201922497191,-0.0565956494916593,-0.00318000997773455,-0.0971337369952882,-0.00275643151680066,-0.104318008010827,-0.0783763703702847,-0.0587819870415972,-0.0646043555095769,-0.0209243534770293,-0.145526495694805,-0.0746789841246666,-0.138206517889249,-0.0511100445228887,-0.123151222182775
"TOR",-0.0155221220090396,-0.052291713661266,0.0153795934322167,0.0914256709810996,0.0543947453531446,0.0329652399364565,-0.00431213838714157,0.0282587228462173,-0.0263692803553313,0.00339939810892345,-0.0580691961857863,-0.00510461714129417,-0.0258150565121097,-0.00550885808991287,0.0682188023927708,0.0226089659125782,0.019633508670638,0.0730491481845627,-0.0209045788329909,0.0734727266454966,-0.0280888498485299,-0.00214721220798744,0.0174471711207001,0.0116248026527204,0.055304804685268,-0.0692973375325077,0.00155017403763073,-0.0619773597269517,0.0251191136394086,-0.0469220640204776
"Utah",-0.0164829757819588,-0.0532525674341852,0.0144187396592975,0.0904648172081804,0.0534338915802254,0.0320043861635373,-0.00527299216006078,0.0272978690732981,-0.0273301341282505,0.00243854433600423,-0.0590300499587055,-0.00606547091421339,-0.0267759102850289,-0.00646971186283208,0.0672579486198516,0.021648112139659,0.0186726548977188,0.0720882944116435,-0.0218654326059102,0.0725118728725774,-0.0290497036214491,-0.00310806598090665,0.0164863173477809,0.0106639488798012,0.0543439509123488,-0.070258191305427,0.000589320264711508,-0.0629382134998709,0.0241582598664894,-0.0478829177933968
"MEM",-0.07863439048263,-0.115403982134856,-0.0477326750413738,0.0283134025075091,-0.00871752312044592,-0.030147028537134,-0.0674244068607321,-0.0348535456273732,-0.0894815488289218,-0.059712870364667,-0.121181464659377,-0.0682168856148847,-0.0889273249857002,-0.0686211265635034,0.00510653391918031,-0.0405033025610123,-0.0434787598029525,0.00993687971097224,-0.0840168473065814,0.0103604581719061,-0.0912011183221204,-0.0652594806815779,-0.0456650973528904,-0.0514874658208701,-0.00780746378832246,-0.132409606006098,-0.0615620944359598,-0.125089628200542,-0.0379931548341819,-0.110034332494068
"WAS",-0.0531657667086147,-0.0899353583608412,-0.0222640512673585,0.0537820262815244,0.0167511006535694,-0.0046784047631187,-0.0419557830867168,-0.00938492185335789,-0.0640129250549065,-0.0342442465906517,-0.0957128408853615,-0.0427482618408694,-0.0634587012116849,-0.0431525027894881,0.0305751576931956,-0.015034678786997,-0.0180101360289372,0.0354055034849875,-0.0585482235325661,0.0358290819459214,-0.0657324945481051,-0.0397908569075626,-0.0201964735788751,-0.0260188420468548,0.0176611599856928,-0.106940982232083,-0.0360934706619445,-0.0996210044265269,-0.0125245310601666,-0.0845657087200528
"DET",-0.0388324825437079,-0.0756020741959343,-0.00793076710245166,0.0681153104464313,0.0310843848184762,0.00965487940178817,-0.0276224989218099,0.00494836231154898,-0.0496796408899996,-0.0199109624257449,-0.0813795567204546,-0.0284149776759625,-0.049125417046778,-0.0288192186245812,0.0449084418581025,-0.000701394622090123,-0.00367685186403033,0.0497387876498944,-0.0442149393676593,0.0501623661108283,-0.0513992103831982,-0.0254575727426558,-0.00586318941396822,-0.0116855578819479,0.0319944441505997,-0.0926076980671761,-0.0217601864970376,-0.08528772026162,0.0018087531047403,-0.0702324245551459
"CHR",-0.026179991330863,-0.0629495829830894,0.00472172411039325,0.0807678016592762,0.0437368760313211,0.0223073706146331,-0.014970007708965,0.0176008535243939,-0.0370271496771547,-0.00725847121289998,-0.0687270655076097,-0.0157624864631176,-0.0364729258339331,-0.0161667274117363,0.0575609330709474,0.0119510965907548,0.00897563934881457,0.0623912788627393,-0.0315624481548144,0.0628148573236732,-0.0387467191703533,-0.0128050815298109,0.00678930179887668,0.000966933330896962,0.0446469353634446,-0.0799552068543312,-0.00910769528419269,-0.0726352290487751,0.0144612443175852,-0.057579933342301
